package,version,found_by,containers
HD-BET,1.0,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
Pillow,8.0.0,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
PySocks,1.7.1,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
PyWavelets,1.1.1,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
SimpleITK,2.0.0,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
adduser,3.116ubuntu1,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
apt,1.6.12,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
base-files,10.1ubuntu2.8,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
base-passwd,3.5.44,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
bash,4.4.18-2ubuntu1.2,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
binutils,2.30-21ubuntu1~18.04.4,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
binutils-common,2.30-21ubuntu1~18.04.4,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
binutils-x86-64-linux-gnu,2.30-21ubuntu1~18.04.4,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
bsdutils,1:2.31.1-0.4ubuntu3.5,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
build-essential,12.4ubuntu1,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
bzip2,1.0.6-8.1ubuntu0.2,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
ca-certificates,20190110~18.04.1,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
certifi,2020.4.5.1,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
certifi,2020.6.20,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
cffi,1.14.0,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
chardet,3.0.4,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
conda,4.8.3,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
conda-package-handling,1.7.0,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
coreutils,8.28-1ubuntu1,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
cpp,4:7.4.0-1ubuntu2.3,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
cpp-7,7.5.0-3ubuntu1~18.04,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
cryptography,2.9.2,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
curl,7.58.0-2ubuntu3.10,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
cycler,0.10.0,python-package-cataloger,docker://anibalsolon/hd-bet:v0.0.1
dash,0.5.8-2.10,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
debconf,1.5.66ubuntu1,dpkgdb-cataloger,docker://anibalsolon/hd-bet:v0.0.1
